Kecamatan,Tahun,Total_Populasi,Total_Warga_Rentan,Total_Bantuan_PIP,Total_Pra_Sekolah,SD,Rasio_Warga_Rentan,Status_Resiko
ANDIR,2015,98918,27687.21,3504.91,0.0,24.1,27.99006247599021,Tinggi
ANDIR,2016,99135,27574.28,3437.83,0.0,23.93,27.814878700761582,Tinggi
ANDIR,2017,99275,27003.03,3174.7,0.0,23.89,27.20023167967766,Tinggi
ANDIR,2018,98393,26786.74,3030.76,4.64,23.65,27.22423343124003,Tinggi
ANDIR,2019,100021,26470.19,2826.83,11.34,23.7,26.46463242719029,Sedang
ANDIR,2020,99378,25561.0,2324.0,0.0,24.0,25.72098452373765,Sedang
ANDIR,2021,99493,26665.0,2324.0,41.0,24.0,26.80088046395224,Tinggi
ANDIR,2022,99119,26410.0,2629.0,31.0,24.0,26.644740160816795,Sedang
ANDIR,2023,99126,25852.0,3001.0,41.0,24.0,26.07993866392269,Sedang
ANDIR,2024,99334,25223.0,1490.0,40.0,24.0,25.39211146233918,Sedang
ANDIR,2025,99653,24776.0,1490.0,42.0,24.0,24.86227208413193,Rendah
ANTAPANI,2015,76057,18104.76,2644.96,0.0,12.28,23.80419948196747,Rendah
ANTAPANI,2016,76001,18602.15,2442.93,0.0,12.64,24.47619110274865,Rendah
ANTAPANI,2017,77074,18785.05,2365.43,0.0,13.08,24.372745672989595,Rendah
ANTAPANI,2018,77755,19324.03,2137.68,0.0,13.9,24.852459648897177,Rendah
ANTAPANI,2019,78050,19367.33,2095.31,8.08,13.91,24.814003843689942,Rendah
ANTAPANI,2020,78817,19262.0,1544.0,0.0,14.0,24.438890087163937,Rendah
ANTAPANI,2021,80096,20447.0,1544.0,43.0,15.0,25.52811626048741,Sedang
ANTAPANI,2022,80530,20675.0,2596.0,31.0,15.0,25.67366198932075,Sedang
ANTAPANI,2023,81283,20782.0,1545.0,42.0,16.0,25.567461830887144,Sedang
ANTAPANI,2024,81908,21019.0,1063.0,47.0,16.0,25.661718025101333,Sedang
ANTAPANI,2025,82573,21196.0,1063.0,51.0,16.0,25.66940767563247,Sedang
ARCAMANIK,2015,69975,17919.5,3506.62,0.0,14.99,25.608431582708107,Sedang
ARCAMANIK,2016,72078,18459.97,3272.04,0.0,15.6,25.61110186187186,Sedang
ARCAMANIK,2017,72539,18887.52,3121.9,0.0,15.97,26.03774521291995,Sedang
ARCAMANIK,2018,73202,19723.65,2914.21,5.31,17.43,26.94414087046802,Tinggi
ARCAMANIK,2019,75416,19218.77,2665.57,13.21,17.94,25.483677203776388,Sedang
ARCAMANIK,2020,76913,19436.0,2001.0,0.0,18.0,25.270110384460367,Rendah
ARCAMANIK,2021,78866,20106.0,2001.0,51.0,19.0,25.49387568787564,Sedang
ARCAMANIK,2022,80387,20591.0,2880.0,44.0,19.0,25.61483822011021,Sedang
ARCAMANIK,2023,81675,20860.0,3183.0,52.0,21.0,25.54025099479645,Sedang
ARCAMANIK,2024,82924,21179.0,1091.0,53.0,21.0,25.540253726303604,Sedang
ARCAMANIK,2025,84255,21144.0,1091.0,55.0,21.0,25.095246572903683,Rendah
ASTANAANYAR,2015,73278,20063.38,3512.2,0.0,15.64,27.37981385954857,Tinggi
ASTANAANYAR,2016,73504,20100.81,3246.97,0.0,15.4,27.3465525685677,Tinggi
ASTANAANYAR,2017,73025,19502.46,3118.62,1.99,15.78,26.706552550496404,Sedang
ASTANAANYAR,2018,73927,19643.56,2838.35,4.89,16.08,26.57156384000433,Sedang
ASTANAANYAR,2019,73446,19548.99,2692.56,8.38,15.04,26.61682052119925,Sedang
ASTANAANYAR,2020,74049,18467.0,2253.0,0.0,16.0,24.938891814879334,Rendah
ASTANAANYAR,2021,73447,19338.0,2253.0,23.0,16.0,26.32918975587839,Sedang
ASTANAANYAR,2022,73232,19334.0,1648.0,21.0,16.0,26.401026873497923,Sedang
ASTANAANYAR,2023,73581,19040.0,3924.0,24.0,16.0,25.87624522634919,Sedang
ASTANAANYAR,2024,73794,18295.0,1165.0,22.0,16.0,24.79198850855083,Rendah
ASTANAANYAR,2025,73919,17757.0,1165.0,21.0,16.0,24.02224056061365,Rendah
BABAKAN CIPARAY,2015,128346,36078.86,3857.58,0.0,19.12,28.11062284761504,Tinggi
BABAKAN CIPARAY,2016,133269,37136.63,3669.25,0.0,18.85,27.865917805341077,Tinggi
BABAKAN CIPARAY,2017,135134,37988.9,3655.46,0.0,19.0,28.11202214098599,Tinggi
BABAKAN CIPARAY,2018,136159,38806.76,3581.17,7.08,19.39,28.501061259263068,Tinggi
BABAKAN CIPARAY,2019,139107,39249.78,3527.23,13.74,19.09,28.21553192865923,Tinggi
BABAKAN CIPARAY,2020,139374,38542.0,3772.0,0.0,19.0,27.65365132664629,Tinggi
BABAKAN CIPARAY,2021,142528,41013.0,3772.0,47.0,19.0,28.775398518185906,Tinggi
BABAKAN CIPARAY,2022,143651,40993.0,1492.0,44.0,19.0,28.53652254422176,Tinggi
BABAKAN CIPARAY,2023,145616,41241.0,4335.0,50.0,19.0,28.32175035710361,Tinggi
BABAKAN CIPARAY,2024,147541,41630.0,3141.0,50.0,19.0,28.21588575379047,Tinggi
BABAKAN CIPARAY,2025,149288,42075.0,3141.0,48.0,19.0,28.183779004340604,Tinggi
BANDUNG KIDUL,2015,57033,15228.02,1788.42,0.0,10.18,26.7003664545088,Sedang
BANDUNG KIDUL,2016,57765,15494.79,1659.22,0.0,9.95,26.823837964165158,Tinggi
BANDUNG KIDUL,2017,57898,15353.25,1548.01,0.0,10.05,26.517755362879548,Sedang
BANDUNG KIDUL,2018,59841,15173.43,1515.57,0.98,10.12,25.35624404672382,Sedang
BANDUNG KIDUL,2019,59809,15185.2,1414.93,5.54,9.9,25.389489876105603,Sedang
BANDUNG KIDUL,2020,60129,15065.0,1061.0,0.0,10.0,25.05446623093681,Rendah
BANDUNG KIDUL,2021,60922,15618.0,1061.0,28.0,10.0,25.636059223269097,Sedang
BANDUNG KIDUL,2022,61419,15458.0,1888.0,14.0,10.0,25.16810758885687,Rendah
BANDUNG KIDUL,2023,61878,15373.0,1075.0,29.0,10.0,24.844047965351173,Rendah
BANDUNG KIDUL,2024,62666,15422.0,778.0,29.0,10.0,24.60983627485399,Rendah
BANDUNG KIDUL,2025,63189,15295.0,778.0,28.0,10.0,24.205162290905065,Rendah
BANDUNG KULON,2015,129908,38682.75,0.0,0.0,27.53,29.77703451673492,Tinggi
BANDUNG KULON,2016,129725,38423.82,65.73,0.0,25.97,29.619441125457698,Tinggi
BANDUNG KULON,2017,129159,38614.47,556.33,1.81,27.99,29.89684807098228,Tinggi
BANDUNG KULON,2018,132150,38985.94,1037.15,9.49,26.93,29.501278849791905,Tinggi
BANDUNG KULON,2019,131652,39215.85,1492.45,17.48,26.38,29.787507975571963,Tinggi
BANDUNG KULON,2020,133275,38090.0,2035.0,0.0,27.0,28.580003751641343,Tinggi
BANDUNG KULON,2021,136217,40720.0,2035.0,53.0,27.0,29.89347878752285,Tinggi
BANDUNG KULON,2022,136622,41120.0,3428.0,46.0,27.0,30.09764166825255,Tinggi
BANDUNG KULON,2023,137546,41412.0,3604.0,54.0,27.0,30.10774577232344,Tinggi
BANDUNG KULON,2024,138609,41200.0,4144.0,52.0,27.0,29.72389960247892,Tinggi
BANDUNG KULON,2025,139136,39753.0,4144.0,51.0,27.0,28.57132589696412,Tinggi
BANDUNG WETAN,2015,28226,6686.6,1308.39,0.0,17.17,23.689506129100828,Rendah
BANDUNG WETAN,2016,28571,6655.61,1244.29,0.0,16.73,23.294984424766373,Rendah
BANDUNG WETAN,2017,28374,6724.21,1166.19,0.0,16.61,23.698491576795657,Rendah
BANDUNG WETAN,2018,28465,6526.96,1135.06,0.51,16.57,22.92977340593712,Rendah
BANDUNG WETAN,2019,28690,6679.9,1088.9,4.55,16.89,23.283025444405716,Rendah
BANDUNG WETAN,2020,29019,6471.0,836.0,0.0,17.0,22.299183293704125,Rendah
BANDUNG WETAN,2021,28864,6785.0,836.0,20.0,17.0,23.50679046563193,Rendah
BANDUNG WETAN,2022,28848,6944.0,1069.0,18.0,17.0,24.070992789794783,Rendah
BANDUNG WETAN,2023,29039,6911.0,1401.0,22.0,17.0,23.79902889217948,Rendah
BANDUNG WETAN,2024,29328,6767.0,553.0,24.0,17.0,23.07351336606656,Rendah
BANDUNG WETAN,2025,29530,6619.0,553.0,24.0,17.0,22.41449373518456,Rendah
BATUNUNGGAL,2015,118380,30372.11,633.72,0.0,15.78,25.656453792870412,Sedang
BATUNUNGGAL,2016,118662,30160.36,837.02,0.0,15.58,25.41703325411673,Sedang
BATUNUNGGAL,2017,119730,30305.31,1056.27,0.0,16.3,25.311375595088958,Sedang
BATUNUNGGAL,2018,120286,30225.0,1279.89,3.65,15.66,25.12761252348569,Rendah
BATUNUNGGAL,2019,119815,30271.9,1465.37,10.48,16.28,25.26553436548012,Rendah
BATUNUNGGAL,2020,121324,29817.0,1824.0,0.0,16.0,24.576341037222644,Rendah
BATUNUNGGAL,2021,121318,30829.0,1824.0,41.0,16.0,25.41172785571803,Sedang
BATUNUNGGAL,2022,121469,30725.0,1621.0,34.0,16.0,25.29451958936025,Sedang
BATUNUNGGAL,2023,122015,30611.0,2906.0,42.0,16.0,25.087899028807936,Rendah
BATUNUNGGAL,2024,122844,30294.0,2593.0,42.0,16.0,24.660545081566863,Rendah
BATUNUNGGAL,2025,123565,30005.0,2593.0,45.0,16.0,24.28276615546473,Rendah
BOJONGLOA KALER,2015,120875,33454.6,1221.75,0.0,11.18,27.67702171664943,Tinggi
BOJONGLOA KALER,2016,120737,34502.27,1215.07,0.0,11.42,28.576385035241884,Tinggi
BOJONGLOA KALER,2017,122570,34197.09,1241.48,0.0,11.33,27.90004895161948,Tinggi
BOJONGLOA KALER,2018,121679,33836.89,1245.37,3.7,11.09,27.808323539805556,Tinggi
BOJONGLOA KALER,2019,123181,35175.96,1256.23,9.21,11.31,28.556319562270158,Tinggi
BOJONGLOA KALER,2020,123569,33655.0,1211.0,0.0,12.0,27.23579538557405,Tinggi
BOJONGLOA KALER,2021,124506,35137.0,1211.0,36.0,12.0,28.22112990538608,Tinggi
BOJONGLOA KALER,2022,124323,35357.0,730.0,28.0,12.0,28.439629030830982,Tinggi
BOJONGLOA KALER,2023,125468,35403.0,2603.0,38.0,12.0,28.216756463799538,Tinggi
BOJONGLOA KALER,2024,125950,34904.0,1033.0,38.0,12.0,27.712584358872565,Tinggi
BOJONGLOA KALER,2025,126845,34907.0,1033.0,37.0,13.0,27.51941345736923,Tinggi
BOJONGLOA KIDUL,2015,82207,23498.69,961.16,0.0,14.15,28.58477988492464,Tinggi
BOJONGLOA KIDUL,2016,83247,24130.74,993.23,0.0,13.93,28.986918447511623,Tinggi
BOJONGLOA KIDUL,2017,84981,24011.36,1047.15,0.0,14.15,28.25497464139043,Tinggi
BOJONGLOA KIDUL,2018,85563,23900.1,1056.68,2.66,13.84,27.932751306055188,Tinggi
BOJONGLOA KIDUL,2019,86930,24237.72,1098.79,6.54,13.96,27.88188197400207,Tinggi
BOJONGLOA KIDUL,2020,86004,23770.0,989.0,0.0,14.0,27.638249383749592,Tinggi
BOJONGLOA KIDUL,2021,87480,25181.0,989.0,25.0,14.0,28.784865112025603,Tinggi
BOJONGLOA KIDUL,2022,87988,25406.0,555.0,24.0,14.0,28.874391962540347,Tinggi
BOJONGLOA KIDUL,2023,88867,25359.0,3266.0,26.0,14.0,28.535901965859097,Tinggi
BOJONGLOA KIDUL,2024,89833,25436.0,808.0,27.0,14.0,28.31476183585097,Tinggi
BOJONGLOA KIDUL,2025,90155,25200.0,808.0,28.0,14.0,27.951860684376907,Tinggi
BUAHBATU,2015,94994,23973.7,4079.47,0.0,13.29,25.237067604269743,Rendah
BUAHBATU,2016,95618,24881.31,3738.89,0.0,12.49,26.02157543558744,Sedang
BUAHBATU,2017,98382,25774.77,3549.44,0.0,12.84,26.198664389827407,Sedang
BUAHBATU,2018,98288,25535.93,3196.78,5.84,13.17,25.980719925118024,Sedang
BUAHBATU,2019,100311,26021.07,2890.55,14.04,13.4,25.94039537039806,Sedang
BUAHBATU,2020,101426,25824.0,2301.0,0.0,13.0,25.46092717843551,Sedang
